Platform,Rating,Review Text (Original),Review Text (Cleaned),Review Date,App Version
google_play,1,"app has no permission to acccess the sms yet the app auto reads OTP and executes the action with out user confirmation, just exploring the import funds section has executed the action. this feature ma...","app has no permission to acccess the sms yet the app auto reads OTP and executes the action with out user confirmation, just exploring the import funds section has executed the action. this feature makes this app unreliable and which could lead to security flaw",2025-11-21 16:20:33.000000,17.96.6
google_play,4,you should add Realised profit features in app which can show investors how his / her stretegy actually working.,you should add Realised profit features in app which can show investors how his / her stretegy actually working.,2025-11-21 14:50:02.000000,17.96.6
google_play,5,this broker is very nice 👍👏,this broker is very nice,2025-11-21 14:28:00.000000,17.96.7
google_play,1,"fix your Gtt orders, app not showing required margine while modifying a existing order and add value based buying, quantity based buying is slow and confusing.","fix your Gtt orders, app not showing required margine while modifying a existing order and add value based buying, quantity based buying is slow and confusing.",2025-11-21 12:59:32.000000,17.96.6
google_play,3,Excellent..But Brokrage Charges Little high.. Please Focus on this Issue.. Increase Day by day,Excellent..But Brokrage Charges Little high.. Please Focus on this Issue.. Increase Day by day,2025-11-21 12:56:43.000000,17.96.6
google_play,1,worst stock market application ever not works properly and customer support is pathetic and useless don't use this app,worst stock market application ever not works properly and customer support is pathetic and useless don't use this app,2025-11-21 12:49:19.000000,17.97.0
google_play,3,In groww FNO segment OI is not shown with their percentage pls update this feature as it is very useful,In groww FNO segment OI is not shown with their percentage pls update this feature as it is very useful,2025-11-21 12:40:11.000000,17.96.6
google_play,1,grow aplication very very froudly company know download any customer grow application customer always lossing your money,grow aplication very very froudly company know download any customer grow application customer always lossing your money,2025-11-21 11:25:42.000000,17.96.7
app_store,5,"I have been using GROW for 14 months for intraday and F&O trading and Order execution is instant with no slippag.

Charts load quickly even on mobile data.",I have been using GROW for 14 months for intraday and F&O trading and Order execution is instant with no slippag. Charts load quickly even on mobile data.,2025-11-21 11:04:57.000000,17.97.0
google_play,5,The best easy app that even inexperienced people can trade easily.,The best easy app that even inexperienced people can trade easily.,2025-11-21 10:58:27.000000,17.96.6
